TF	n_libraries_supported	best_adjusted_p	best_combined_score	supporting_libraries	best_term	aggregate_score
NR1I2	1	0.0020326190567824002	30.995742613167888	ChEA_2022	NR1I2 20693526 ChIP-Seq LIVER Mouse	2.6919440070183622
GATA3	1	0.0023557406783640735	21.22103301688591	ChEA_2022	GATA3 27048872 Chip-Seq THYMUS Human	12.963305802943333
TBX3	1	0.0026905394793915382	26.70334013375743	ChEA_2022	TBX3 20139965 ChIP-Seq ESCs Mouse	5.134530976760386
P53	1	0.002726651631723973	20.795118148773938	ChEA_2022	P53 22387025 ChIP-Seq ESCs Mouse	3.1696993550727397
MBD3	1	0.0036686870210082315	15.476177803340665	ChEA_2022	MBD3 35695185 ChIP-Seq nicBasalRootGanglia Mouse Embryo	2.435489336716894
HOXB4	1	0.004075383063660859	20.416748310718894	ChEA_2022	HOXB4 20404135 ChIP-ChIP EML Mouse	2.3898315637055245
E2A	1	0.004883091954863655	17.73162253203928	ChEA_2022	E2A 27217539 Chip-Seq RAMOS-Cell Line Human	2.3113050973186104
ARNT	1	0.00539202892448636	21.39618109804608	ChEA_2022	ARNT 22903824 ChIP-Seq MCF-7 Human	2.2682477867785367
RING1B	1	0.005742085114209471	16.874127017540612	ChEA_2022	RING1B 27294783 Chip-Seq NPCs Mouse	3.5718725787745678
GATA4	1	0.0063338622425658745	17.372335476419416	ChEA_2022	GATA4 21415370 ChIP-Seq HL-1 Mouse	3.3636336877939748
CDX2	1	0.006508422077686359	19.862751188533757	ChEA_2022	CDX2 21402776 ChIP-Seq INTESTINAL-VILLUS Mouse	7.016881005003898
PRDM14	1	0.006607873947133757	16.552788113405526	ChEA_2022	PRDM14 21183938 ChIP-Seq MESCs Mouse	2.976459377373268
STAT6	1	0.006938623576848038	29.46523583182078	ChEA_2022	STAT6 20620947 ChIP-Seq CD4 POS T Human	2.158726672522986
NR1H3	1	0.007066179765088357	23.64105398972563	ChEA_2022	NR1H3 23393188 ChIP-Seq ATHEROSCLEROTIC-FOAM Human	2.1508153182183496
SMARCD1	1	0.007586703457992366	15.476058310612277	ChEA_2022	SMARCD1 25818293 ChIP-Seq ESCs Mouse	2.1199468909029133
ISL1	1	0.008011122254563564	19.691998850217455	ChEA_2022	ISL1 30127528 ChIP-Seq BE2C Human Brain Neuroblastoma	4.070933803889953
UBF1/2	1	0.009554192732686678	14.789446052425442	ChEA_2022	UBF1/2 26484160 Chip-Seq FIBROBLAST Human	4.0548629585276625
FOXP3	1	0.00959412531502737	48.83196492833459	ChEA_2022	FOXP3 17237761 ChIP-ChIP TREG Mouse	3.066097145119806
JUN	1	0.009688166271778369	14.684785668459721	ChEA_2022	JUN 26020271 ChIP-Seq SMOOTH MUSCLE Human	4.786707456421297
EP300	1	0.009723652844666584	15.505505022824591	ChEA_2022	EP300 20729851 ChIP-Seq FORBRAIN MIDBRAIN LIMB HEART Mouse	3.144145687626119
TAF15	1	0.010496600663662634	34.83850455542234	ChEA_2022	TAF15 26573619 Chip-Seq HEK293 Human	1.9789513249339183
MYCN	1	0.010583495929980053	28.506783055739902	ChEA_2022	MYCN 21190229 ChIP-Seq SHEP-21N Human	2.709258916686278
PU.1	1	0.010860859372726196	14.498634818875997	ChEA_2022	PU.1 20176806 ChIP-Seq MACROPHAGES Mouse	4.149346168860086
CEBPA	1	0.012169750214445343	13.860308323721236	ChEA_2022	CEBPA 20513432 ChIP-Seq MACROPHAGES Mouse	3.844278573910093
ESRRB	1	0.012316941401883613	13.782752444739186	ChEA_2022	ESRRB 18555785 Chip-Seq ESCs Mouse	1.979610812477656
GF1	1	0.012316941401883613	15.18839447935008	ChEA_2022	GF1 26923725 Chip-Seq HPCs Mouse	1.9094971247364774
SMAD2	1	0.013334566013640366	13.352310017561203	ChEA_2022	SMAD2 18955504 ChIP-ChIP HaCaT Human	1.8750211142784377
NKX2-5	1	0.01402583976478483	15.043284520078018	ChEA_2022	NKX2-5 21415370 ChIP-Seq HL-1 Mouse	1.8530711269135842
PADI4	1	0.014386346820283115	15.60010642400586	ChEA_2022	PADI4 21655091 ChIP-ChIP MCF-7 Human	1.8420494741117246
ELF5	1	0.014689349044552108	15.469531930774044	ChEA_2022	ELF5 23300383 ChIP-Seq T47D Human	1.8329974494529653
ZFP57	1	0.01569681934888461	15.974666173487602	ChEA_2022	ZFP57 27257070 Chip-Seq ESCs Mouse	1.8041883398945502
LXR	1	0.0191932863686393	11.83873927966038	ChEA_2022	LXR 22158963 ChIP-Seq LIVER Mouse	1.7247311271089687
SMC1	1	0.019676411013778705	11.730398121097487	ChEA_2022	SMC1 22415368 ChIP-Seq MEFs Mouse	1.706054114189971
FOXH1	1	0.019822886587266234	11.665915923824265	ChEA_2022	FOXH1 21741376 ChIP-Seq EPCs Human	2.6465486928981696
ETV1	1	0.01990776391144389	11.6231437695232	ChEA_2022	ETV1 20927104 ChIP-Seq GIST48 Human	1.7009775182477416
EWS	1	0.0204662679866707	15.267845589676828	ChEA_2022	EWS 26573619 Chip-Seq HEK293 Human	1.6889613434909718
RXR	1	0.02053757724593647	18.001283621573815	ChEA_2022	RXR 22108803 ChIP-Seq LS180 Human	2.1150647511890446
FUS	1	0.02053757724593647	18.001283621573815	ChEA_2022	FUS 26573619 Chip-Seq HEK293 Human	1.6874507900853848
P63	1	0.023837711920149638	10.822446377435222	ChEA_2022	P63 26484246 Chip-Seq KERATINOCYTES Human	1.809074038503055
SMAD1	1	0.02390541509881842	11.0720907177643	ChEA_2022	SMAD1 18555785 Chip-Seq ESCs Mouse	2.412122503134684
ZFX	1	0.024075445019154252	11.029165942354977	ChEA_2022	ZFX 18555785 Chip-Seq ESCs Mouse	1.8184718561765105
TCF7	1	0.024465608406262204	10.665748739297054	ChEA_2022	TCF7 22412390 ChIP-Seq EML Mouse	1.6114439798142401
OCT4	1	0.02461959708905238	10.88036769739802	ChEA_2022	OCT4 18555785 Chip-Seq ESCs Mouse	3.9431194975360797
TCF3/E2A	1	0.025721722477341575	10.69229391571636	ChEA_2022	TCF3/E2A 22897851 ChIP-Seq JUKARTE6-1 Human	1.5896999518692476
ERA	1	0.026845844085216976	12.59741269515521	ChEA_2022	ERA 27197147 Chip-Seq ENDOMETRIOID-ADENOCARCINOMA Human	1.864776930692054
ER	1	0.026845844085216976	13.363041443347052	ChEA_2022	ER 23166858 ChIP-Seq MCF-7 Human	1.5711229364282937
NMYC	1	0.026845844085216976	10.507787142473372	ChEA_2022	NMYC 18555785 Chip-Seq ESCs Mouse	1.5711229364282937
