p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.42465773425387e-62,0.441222096960579,0.531,0.484,4.43239514281064e-58,0,LPAR6
1.66027294574765e-44,0.439513154525666,0.357,0.312,5.16544118881008e-40,0,RCSD1
4.13013379644191e-44,0.439399272105517,0.221,0.17,1.28496722674901e-39,0,TMEM51
3.80668362180895e-159,0.439370311410798,0.694,0.611,1.1843354084172e-154,0,BMP2K
1.28945561835671e-49,0.439284147042229,0.32,0.266,4.01175431983139e-45,0,ATP6V0B
3.86980889933341e-47,0.436485018144668,0.466,0.438,1.20397494476061e-42,0,CKB
4.16778503512211e-55,0.435210754312502,0.457,0.411,1.29668128012719e-50,0,LY86
2.38082838150404e-27,0.434593541210313,0.324,0.297,7.40723326053536e-23,0,IFNGR1
5.94320348069609e-13,0.43401753515251,0.11,0.147,1.84904946691417e-08,0,LRP4
1.91414164788816e-140,0.431843136845952,0.735,0.676,5.95527749490963e-136,0,SORL1
2.07669317530197e-68,0.431665906231479,0.47,0.422,6.46100780699949e-64,0,ARHGAP12
3.22947748143904e-207,0.431314075224185,0.811,0.706,1.00475503402532e-202,0,MAML2
2.8584649921043e-72,0.430838834726213,0.504,0.454,8.89325628343488e-68,0,MKNK1
6.89832251665523e-35,0.42936555635445,0.261,0.221,2.14620610138178e-30,0,AC093152.1
1.51102367354218e-200,0.429346172258355,0.804,0.71,4.70109685312442e-196,0,SLC9A9
3.86403456670162e-84,0.427970384700999,0.489,0.425,1.20217843439221e-79,0,CTSB
2.07714611954273e-50,0.427506910215408,0.408,0.363,6.46241700712136e-46,0,RUNX2
2.5059870169557e-57,0.427288274675499,0.401,0.344,7.79662680715258e-53,0,ALOX5
5.79482767154776e-60,0.426821524730768,0.199,0.137,1.80288678517194e-55,0,RAB3A
1.29059356006536e-45,0.426124688406123,0.234,0.18,4.01529468407533e-41,0,NCDN
6.98753837482357e-68,0.426079911882895,0.513,0.469,2.17396293917511e-63,0,ANKS1A
5.30904002643067e-41,0.42496803544427,0.152,0.107,1.65174853302311e-36,0,FGL1
0,0.424887332996198,0.934,0.883,0,0,MEF2C
3.41427972956144e-10,0.424300931992085,0.305,0.299,1.06225070946116e-05,0,CX3CR1
8.66859268726187e-117,0.423376818703817,0.685,0.606,2.69697255686091e-112,0,SLC1A3
2.38017685385389e-151,0.42326584321847,0.725,0.655,7.40520622771023e-147,0,PTPRJ
1.94337451750191e-11,0.423252160811852,0.221,0.204,6.04622679885195e-07,0,AL139125.1
2.46811186370783e-49,0.420418299523307,0.267,0.21,7.6787896303678e-45,0,CD74
6.1147201799683e-124,0.419062206530648,0.741,0.678,1.90241174239174e-119,0,ANKRD44
1.01943685979395e-52,0.418182912361627,0.481,0.441,3.17167195819093e-48,0,PALD1
1.9790315644789e-52,0.416765007687765,0.259,0.2,6.15716300340674e-48,0,PGAM1
1.25197879497884e-47,0.416643427219114,0.404,0.366,3.89515642693815e-43,0,AP1B1
2.25207719738033e-41,0.416053401941508,0.444,0.419,7.00666257648968e-37,0,ZNF710
