Rank	Term	P_value	Z_score	Combined_score	Overlapping_genes	Adjusted_p_value	Old_p_value	Old_adjusted_p_value	Library
99	isotretinoin 5282379 human GSE10433 sample 2498	0.10249156035045898	2.3206315289648622	5.286340193745238	ZEB2;WNT5A;PELI1;NPL	0.6708538495666406	0	0	Drug_Perturbations_from_GEO_down
100	formaldehyde 712 rat GSE7002 sample 3540	0.10806276608311158	2.274441340782123	5.060729905295695	PTPRC;SCIN;TLR2;C1QC	0.6984910811027425	0	0	Drug_Perturbations_from_GEO_down
101	mesalazine DB00244 human GSE38713 sample 3289	0.10886975183854473	2.2679897864438257	5.029501064431935	ELMO1;PDK4;ST6GALNAC3;PAG1	0.6984910811027425	0	0	Drug_Perturbations_from_GEO_down
102	Hydrogen Peroxide 784 mouse GSE3078 sample 3598	0.11049195453594729	2.2551939058171744	4.967769484208209	MBNL1;TCF12;RHOQ;PICALM	0.7014630418246706	0	0	Drug_Perturbations_from_GEO_down
103	sapphyrin PCI-2050 (1.25 &Icirc;&frac14;M) 9855235 human GSE6400 sample 3101	0.1115212433965952	2.6450022411474676	5.801918698741079	CEBPB;PDK4;RIN2	0.7014630418246706	0	0	Drug_Perturbations_from_GEO_down
104	Interferon beta-1a DB00060 human GSE26104 sample 3188	0.11258048819408292	2.633418128263489	5.751613937505418	GPR34;MGAT4A;ST6GALNAC3	0.7014630418246706	0	0	Drug_Perturbations_from_GEO_down
105	imatinib DB00619 human GSE28698 sample 2524	0.11876509428583128	2.193283917340521	4.673027677954449	LYN;CEBPB;HCLS1;TLR2	0.7184900884413691	0	0	Drug_Perturbations_from_GEO_down
106	formaldehyde 712 rat GSE7002 sample 3539	0.11960703644623409	2.1872759856630823	4.644775933985932	FAM13A;OLR1;PIK3AP1;SAMSN1	0.7184900884413691	0	0	Drug_Perturbations_from_GEO_down
107	irinotecan DB00762 rat GSE11722 sample 2769	0.11960703644623409	2.1872759856630823	4.644775933985932	BNC2;ANKRD44;FBXO11;ARHGAP24	0.7184900884413691	0	0	Drug_Perturbations_from_GEO_down
108	Retinoic acid 444795 human GSE32161 sample 3237	0.12010266846747986	2.5550550116953996	5.415204879048252	CALCR;ST8SIA4;BLNK	0.7184900884413691	0	0	Drug_Perturbations_from_GEO_down
109	dactinomycin DB00970 mouse GSE5324 sample 2701	0.12085712907424263	1.9732261020054973	4.169715204611252	CEBPB;WSB1;DLEU2;RIN2;TLR2	0.7184900884413691	0	0	Drug_Perturbations_from_GEO_down
110	abiraterone DB05812 human GSE49244 sample 3300	0.12300090129696768	2.163563829787234	4.533885599365452	CX3CR1;GPR34;CPVL;C1QC	0.7245871276403186	0	0	Drug_Perturbations_from_GEO_down
111	methotrexate DB00563 human GSE23687 sample 2541	0.1244832706616049	2.512311493567351	5.23461189108249	GPR34;OLR1;DLEU2	0.7267131476461259	0	0	Drug_Perturbations_from_GEO_down
112	soman 7305 rat GSE13428 sample 2632	0.12780862542092375	3.308464369354299	6.806243198091332	P2RY12;GPR34	0.7326978526175654	0	0	Drug_Perturbations_from_GEO_down
113	etanercept DB00005 human GSE47751 sample 2592	0.12892163165477807	2.470958008549158	5.061882426430637	SH3RF3;GPR34;ST6GALNAC3	0.7326978526175654	0	0	Drug_Perturbations_from_GEO_down
114	HYPOCHLOROUS ACID 24341 mouse GSE15457 sample 3381	0.1300400553556297	2.460828916064944	5.019876300803894	CX3CR1;ST8SIA4;RIN2	0.7326978526175654	0	0	Drug_Perturbations_from_GEO_down
115	phenobarbital sodium 23674889 mouse GSE6721 sample 2462	0.13078694895009155	2.112012987012987	4.296226455051587	CEBPB;WSB1;ETV6;C1QC	0.7326978526175654	0	0	Drug_Perturbations_from_GEO_down
116	phorbol 12-myristate 13-acetate (PMA) 27924 human GSE45417 sample 3246	0.13116196127104565	2.4507815098104424	4.978327314286831	BLNK;PLA2G4A;DLEU2	0.7326978526175654	0	0	Drug_Perturbations_from_GEO_down
117	formaldehyde 712 rat GSE7002 sample 3549	0.13431246882198764	2.0898671808054843	4.195588797723361	FAM13A;TBC1D12;NPL;ARHGAP24	0.7438844427063931	0	0	Drug_Perturbations_from_GEO_down
