gene	logFC_baseline	FDR_baseline	logFC_neuronal_filtered	FDR_neuronal_filtered	direction_same
APC	0.0763210510742025	0.536482858762127	0.106589211404969	0.401044342381201	TRUE
API5	-0.17399977075709	0.159146423164192			
APLP2	0.00842772211084093	0.919800308772277	-0.0021561928746402	0.978932265850837	FALSE
APMAP	0.180914633297348	0.0849022618633726	0.202644074236723	0.100150209054287	TRUE
APOE	-0.112446215379137	0.136103021787088	-0.116570351303183	0.170450368213533	TRUE
APOO	-0.143321739024262	0.163357808176894	-0.145141362876039	0.190308254764395	TRUE
APP	-0.228056501760362	0.00338721580496898	-0.222716872150584	0.00609039448677184	TRUE
APPBP2	0.0234923980544091	0.809390497415268	0.0142550065009845	0.899060229468582	TRUE
APPL1	-0.0309232306220998	0.823537037332813	-0.0759095646451423	0.596841990423351	TRUE
APPL2	0.0244570515070887	0.72117469242199	0.0130662570356344	0.857729017460792	TRUE
AQR	0.05935738101328	0.579667591134054	0.0521368304901571	0.642585731757947	TRUE
ARAP1	0.141339301911752	0.16637341927011	0.126769881165977	0.235220898426491	TRUE
ARAP2	-0.126670013254411	0.182362963747979	-0.131614068110098	0.208031959300065	TRUE
ARF1	0.0941358147117258	0.450103672750448	0.107271829240546	0.418829746896313	TRUE
ARFGEF1	0.0403557344801269	0.632035604820548	0.0333587580320253	0.710137919742851	TRUE
ARFGEF2	0.0621213496070005	0.570986095566908	0.0301287356189299	0.796939121574579	TRUE
ARFIP1	0.0556142819498285	0.524286038666489	0.0444679592746947	0.635879446055241	TRUE
ARGLU1	-0.135870108550627	0.0685648520545898	-0.144124499591233	0.0663091782770747	TRUE
ARHGAP12	0.156319835888866	0.00739120279770618	0.154081071019658	0.00916236021494263	TRUE
ARHGAP15	0.162033747563358	0.0142431820018544	0.164789292722509	0.0159247847292878	TRUE
ARHGAP17	0.21692569074849	0.0033917875098001	0.210175561623067	0.00658532590872156	TRUE
ARHGAP18	0.0717153690158499	0.537408420438777	0.0475771986240912	0.711603208912684	TRUE
ARHGAP20	-0.117349702776652	0.370987864698422	-0.0723891258868838	0.640736117230879	TRUE
