gene	logFC_baseline	FDR_baseline	logFC_combined_filtered	FDR_combined_filtered	direction_same
VPS45	-0.00243227974677165	0.981797222365637	-0.0379731923737381	0.712730011730737	TRUE
VPS4B	-0.0334551614457406	0.792756500703481	-0.04915157979616	0.725380569759041	TRUE
VPS50	0.051421612808124	0.598194167475358	0.0592876840769813	0.561580778754465	TRUE
VPS53	-0.0495692629684119	0.543137926348104	-0.0446304682462452	0.630106076074027	TRUE
VPS54	0.0383057089842427	0.650212539496509	0.0333531535536616	0.725765040791375	TRUE
VPS8	0.103631997257705	0.157694571135516	0.0961360098449103	0.21244330385304	TRUE
VRK2	0.165863821694314	0.139511183594557	0.166687545694849	0.135612090772485	TRUE
VSIG4	0.298725138752546	0.0102626695548663	0.260936517691899	0.025871691808184	TRUE
VSIR	0.104934121739383	0.17881638073423	0.111726712772514	0.153519368937033	TRUE
VSNL1	-0.445881193502658	2.9826869054298e-05	-0.549174581695433	2.04943089018589e-06	TRUE
VTA1	0.0986709778740424	0.354714409851415	0.0632139371336779	0.603873152504656	TRUE
VTI1A	0.0839540537749408	0.191584332422288	0.0582801231712601	0.409847945093651	TRUE
VWA8	0.00625575074083335	0.961700724017	0.0281609148516291	0.838743611795568	TRUE
WAC	0.143528912302043	0.0112729048369065	0.129614415427531	0.0315047337825672	TRUE
WAPL	0.121881616011946	0.0857659058822428	0.13011337015505	0.0871790700743318	TRUE
WASF2	0.0779319268304558	0.207813046890359	0.0600714312206255	0.372275492558243	TRUE
WASHC1	-0.0448553556045538	0.6439181885711	-0.0653205017053768	0.532668390896393	TRUE
WASHC3	0.254583607985197	0.0223692474461695			
WASHC4	0.222807927866577	0.000147798876660566	0.216724953945245	0.000959362729618496	TRUE
WASHC5	-0.058170961690022	0.718242579047575	-0.0494534833748231	0.757860295239596	TRUE
WASL	0.0619961645656258	0.631115304815262	0.0581824204998991	0.665487069784995	TRUE
WBP1L	0.0733283236802184	0.4782947993727	0.0626297422387167	0.576931198839131	TRUE
WBP2NL	-0.0964681545722894	0.46041923687703	-0.113144006982205	0.42473976372428	TRUE
WDFY1	0.071528844062127	0.550142924080472	0.0901426806797239	0.451971399703074	TRUE
WDFY2	0.191171860550442	0.00389655272657029	0.21526295630694	0.0014982451020721	TRUE
WDFY3	0.140425717583253	0.00522760437547423	0.134078164199234	0.00914837684519466	TRUE
WDFY4	0.200189912073022	0.000509479812828991	0.21004656898906	0.000325521739248343	TRUE
WDPCP	-0.0206491533826268	0.859966249561711	0.0166384554666775	0.890105826581991	FALSE
WDR11	0.181918502352741	0.048874397928022	0.21295193657924	0.0223977612447507	TRUE
WDR20	0.0304939551560822	0.806536570280299	0.00894523218185148	0.947896325576661	TRUE
WDR26	0.207697465056481	0.0121892247697142	0.198360326658772	0.0299635214262133	TRUE
WDR27	0.0321441242181147	0.826072379677877	0.0452177606641917	0.758975132944425	TRUE
WDR33	0.0291872601798125	0.782739476635508	0.0457539587453689	0.67174189978463	TRUE
WDR37	0.0902712124496081	0.256589695891582	0.0954904232932314	0.257721318983388	TRUE
WDR41	0.138556963472281	0.25485738276093	0.166641774486209	0.178876063339518	TRUE
WDR43	0.0902946150065707	0.532193121468779	0.0394816972637752	0.804305823877282	TRUE
WDR44	0.07994826670195	0.493738842716494	0.0735343363800194	0.534738406889114	TRUE
WDR45B	-0.117373300812905	0.425630107490396	-0.146405351772291	0.336973441835664	TRUE
WDR59	-0.0268237896252201	0.816973985308096	-0.0260702238703889	0.831846365016608	TRUE
WDR60	-0.394629130536383	0.000302603456183234	-0.411149489319561	0.000318645411268111	TRUE
WDR7	0.0887517371659724	0.251706209119974	0.104991732659416	0.200388608222134	TRUE
WDR70	0.00257751152881874	0.972954189733471	-0.0120315817325369	0.879629783179293	FALSE
WDR82	-0.0227413718749728	0.89148678692468	-0.0788367847359154	0.617475335762957	TRUE
WDSUB1	0.0587939862925067	0.707354347473553			
WDTC1	0.0603555317497428	0.650212539496509	0.0784604579632802	0.559642355075555	TRUE
WIPF1	0.179874902513062	0.00200958041408163	0.18192950292856	0.00326300328730089	TRUE
WIPF2	-0.0532430376729011	0.603219128777657	-0.0806890646525416	0.446807803846471	TRUE
WIPI1	0.0344071517343815	0.8238181849878	0.0658582722209182	0.666999763683166	TRUE
WIPI2	-0.0808093364237985	0.487107691756362	-0.066173990957284	0.627372971564249	TRUE
WLS	0.0698092865320679	0.485541811704998	0.112443560606811	0.263038452795939	TRUE
WNK1	0.0160861630734721	0.844136359925937	0.042537041809965	0.599657808833077	TRUE
WNT2B	-0.175832005461397	0.0764976460954263	-0.174046625757986	0.107412675481738	TRUE
WRN	0.0293632893770251	0.826072379677877	0.0652328943791886	0.624688659233438	TRUE
WSB1	0.214097866809757	0.000217639114220974	0.19170898081933	0.000857177593783623	TRUE
WTAP	0.13152870456473	0.150981199897523	0.149748587920752	0.131622590271034	TRUE
WWC2	0.113109963293116	0.12264563556151	0.0862627258490914	0.285661031023915	TRUE
WWOX	0.0656006437620133	0.339134182424539	0.040196032081509	0.603873152504656	TRUE
WWP1	0.0436684138982285	0.704362410148311	0.0565122733630031	0.654622135841341	TRUE
WWP2	-0.0293151779365255	0.772583606107681	-0.0525074114658474	0.610124573998922	TRUE
XACT	0.11988409406801	0.281962501407982	0.132923200125252	0.265866323185655	TRUE
XAF1	-0.186765159118041	0.0602037926054864	-0.180479705935195	0.089854527942075	TRUE
XIAP	-0.0280767276402662	0.809390497415268	0.00494872094869872	0.971580548903881	FALSE
XKR4	-0.69442160662548	6.20194512746929e-08	-0.729112725432538	5.59293627671941e-08	TRUE
XKR6	-0.0672365281820108	0.393932777568623	-0.042164567099408	0.623207751855327	TRUE
XPA	0.0279511946029147	0.864519068651679			
XPC	-0.0791826116262315	0.561609944938046			
XPO1	0.0960457546860487	0.160773154425888	0.0905551318251493	0.224943054982193	TRUE
XPO4	0.233700364148835	0.00842481636259935	0.211456009513926	0.0266763507602001	TRUE
XPO6	0.0808093595567021	0.368036278761028	0.0713082983691949	0.493060170267818	TRUE
XPO7	0.0478094920355433	0.698615761443582	0.0517949596802584	0.687072975845918	TRUE
XPR1	0.0233584580518369	0.818078339856497	0.0320678728757269	0.769209021045234	TRUE
XRCC4	0.113920923577444	0.290860234346155	0.113266470557485	0.346994099582928	TRUE
XRCC5	0.104908949217773	0.114062190463493	0.109829117569638	0.114418937518995	TRUE
XRCC6	-0.200550137032925	0.158510459180207	-0.220772978204696	0.147679921580191	TRUE
XRN1	-0.0761178658420575	0.389018301576834	-0.0937465837374777	0.313644578766942	TRUE
XRN2	0.0960738667084688	0.316206486317703	0.0914222238584001	0.39229239562999	TRUE
XRRA1	0.0187949199008933	0.884975199537417	0.0595917354496947	0.646550581768886	TRUE
XYLT1	-0.254151180976482	0.00672255184382851	-0.281709798443571	0.00293746645259527	TRUE
YAF2	-0.0399716900738108	0.722315444964191	-0.053729068314638	0.64068724943005	TRUE
YEATS2	0.0965331735742197	0.270403595053561	0.0622276801612409	0.539432455169327	TRUE
YIPF4	-0.00946865466370655	0.93703521644784	-0.0306799191633417	0.804625192848537	TRUE
YLPM1	-0.0203022537753719	0.840992479030801	-0.030519700214578	0.771025295552845	TRUE
YME1L1	0.0719576100106698	0.528488446167779	0.0408116245347447	0.758127946509455	TRUE
YPEL2	0.17122635274878	0.0306091096864385	0.182460514973776	0.0183367389907566	TRUE
YPEL3	-0.231614220078084	0.0201696602036946	-0.333123937466769	0.00108352478585197	TRUE
YTHDC1	-0.0960411064514903	0.286029162122074	-0.108372089735532	0.255430005820379	TRUE
YTHDC2	0.132183690078173	0.0428621609531852	0.143298579051901	0.041309220992105	TRUE
YTHDF2	-0.0572337964048076	0.61938745138539	-0.0898327094438473	0.424112796438734	TRUE
YTHDF3	0.130420646362913	0.171463671026483	0.118774703592538	0.290355921047352	TRUE
YWHAB	-0.190002683308634	0.0341991455912166	-0.237617221635009	0.00655569325998114	TRUE
YWHAE	-0.178260478177102	0.0126912621386103	-0.170516569611182	0.0211485381305841	TRUE
YWHAG	-0.146979581593985	0.119280740471268	-0.208289268772231	0.0171303858025858	TRUE
YWHAH	-0.324252762051455	0.00869644565779504	-0.366913566177737	0.00175972417723076	TRUE
YWHAQ	-0.0687518050215791	0.537024860747399	-0.111626422834631	0.342894158627647	TRUE
YWHAZ	-0.0532427518049495	0.574654413488812	-0.103023704554232	0.261443873015987	TRUE
